timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:11:15,18.71,68.33,0,0,0.009159,0.231179,-0.825448,---,---,---
08/03/2016 07:11:19,18.73,68.16,0,0,0.010325,0.231214,-0.825465,---,---,---
08/03/2016 07:11:24,18.74,68,0,0,0.011478,0.231259,-0.825488,---,---,---
08/03/2016 07:11:29,18.76,67.84,0,---,0.012721,0.231292,---,---,---,---
08/03/2016 07:11:30,---,---,---,0,---,---,-0.825511,---,---,---
08/03/2016 07:11:34,18.77,67.69,0,0,0.014077,0.231347,-0.825531,---,---,---
08/03/2016 07:11:39,18.79,67.55,0,0,0.015469,0.231415,-0.825551,---,---,---
08/03/2016 07:11:44,18.8,67.42,0,0,0.01696,0.231429,-0.82556,---,---,---
08/03/2016 07:11:49,18.81,---,---,---,---,---,---,---,---,---
08/03/2016 07:11:50,---,67.3,0,0,0.018495,0.231477,-0.825569,---,---,---
08/03/2016 07:11:54,18.83,67.18,0,---,0.020074,0.231525,---,---,---,---
08/03/2016 07:11:55,---,---,---,0,---,---,-0.825586,---,---,---
08/03/2016 07:11:59,18.84,67.06,0,---,0.021707,0.231562,---,---,---,---
08/03/2016 07:12:00,---,---,---,0,---,---,-0.825594,---,---,---
08/03/2016 07:12:04,18.86,66.96,0,---,0.023453,0.231622,---,---,---,---
08/03/2016 07:12:05,---,---,---,0,---,---,-0.825604,---,---,---
08/03/2016 07:12:09,18.87,66.87,0,---,0.025139,0.231677,---,---,---,---
08/03/2016 07:12:10,---,---,---,0,---,---,-0.825619,---,---,---
08/03/2016 07:12:14,18.88,66.78,0,---,0.026932,0.23172,---,---,---,---
08/03/2016 07:12:15,---,---,---,0,---,---,-0.825637,---,---,---
08/03/2016 07:12:19,18.9,66.69,0,---,0.028799,0.23173,---,---,---,---
08/03/2016 07:12:20,---,---,---,0,---,---,-0.825647,---,---,---
08/03/2016 07:12:24,18.91,---,---,---,---,---,---,---,---,---
08/03/2016 07:12:25,---,66.6,0,0,0.030675,0.231752,-0.825661,---,---,---
08/03/2016 07:12:29,18.92,66.51,0,---,0.032595,0.231813,---,---,---,---
08/03/2016 07:12:30,---,---,---,0,---,---,-0.825671,---,---,---
08/03/2016 07:12:34,18.94,66.42,0,---,0.034543,0.231835,---,---,---,---
