timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:11:08,19.63,64.41,---,---,---,---,---,---,---,---
08/03/2016 07:11:09,---,---,0,0,0.001982,0.107752,-0.821086,---,---,---
08/03/2016 07:11:13,19.65,64.27,---,---,---,---,---,---,---,---
08/03/2016 07:11:14,---,---,0,0,0.002448,0.109528,-0.821191,---,---,---
08/03/2016 07:11:18,19.66,64.12,---,---,---,---,---,---,---,---
08/03/2016 07:11:19,---,---,0,0,0.002934,0.111246,-0.821273,---,---,---
08/03/2016 07:11:23,19.67,63.97,---,---,---,---,---,---,---,---
08/03/2016 07:11:24,---,---,0,0,0.003489,0.112867,-0.821355,---,---,---
08/03/2016 07:11:29,19.69,63.83,0,---,0.004231,0.114438,---,---,---,---
08/03/2016 07:11:30,---,---,---,0,---,---,-0.82144,---,---,---
08/03/2016 07:11:33,19.7,63.7,---,---,---,---,---,---,---,---
08/03/2016 07:11:34,---,---,0,0,0.005001,0.115994,-0.821536,---,---,---
08/03/2016 07:11:38,19.71,63.58,---,---,---,---,---,---,---,---
08/03/2016 07:11:39,---,---,0,0,0.005808,0.117477,-0.821608,---,---,---
08/03/2016 07:11:43,19.72,---,---,---,---,---,---,---,---,---
08/03/2016 07:11:44,---,63.48,0,0,0.006723,0.118916,-0.821685,---,---,---
08/03/2016 07:11:48,19.74,63.37,---,---,---,---,---,---,---,---
08/03/2016 07:11:49,---,---,0,0,0.007768,0.120315,-0.821768,---,---,---
08/03/2016 07:11:53,19.75,63.27,---,---,---,---,---,---,---,---
08/03/2016 07:11:54,---,---,0,0,0.008887,0.121672,-0.821841,---,---,---
08/03/2016 07:11:58,19.76,63.17,---,---,---,---,---,---,---,---
08/03/2016 07:11:59,---,---,0,0,0.010063,0.123017,-0.821905,---,---,---
08/03/2016 07:12:03,19.77,63.09,---,---,---,---,---,---,---,---
08/03/2016 07:12:04,---,---,0,0,0.01134,0.124282,-0.821985,---,---,---
08/03/2016 07:12:08,19.78,63,---,---,---,---,---,---,---,---
08/03/2016 07:12:09,---,---,0,0,0.012674,0.125577,-0.822059,---,---,---
08/03/2016 07:12:13,19.8,62.92,---,---,---,---,---,---,---,---
08/03/2016 07:12:14,---,---,0,0,0.014035,0.126795,-0.822123,---,---,---
08/03/2016 07:12:18,19.81,62.83,---,---,---,---,---,---,---,---
08/03/2016 07:12:19,---,---,0,0,0.015514,0.12801,-0.822191,---,---,---
08/03/2016 07:12:23,19.82,62.74,---,---,---,---,---,---,---,---
08/03/2016 07:12:24,---,---,0,0,0.016994,0.129068,-0.822256,---,---,---
08/03/2016 07:12:28,19.83,62.65,---,---,---,---,---,---,---,---
08/03/2016 07:12:29,---,---,0,0,0.01854,0.130212,-0.82232,---,---,---
08/03/2016 07:12:33,19.84,62.55,---,---,---,---,---,---,---,---
08/03/2016 07:12:34,---,---,0,0,0.020129,0.131278,-0.82238,---,---,---
08/03/2016 07:12:38,19.85,62.46,---,---,---,---,---,---,---,---
08/03/2016 07:12:39,---,---,0,0,0.021766,0.132323,-0.822438,---,---,---
08/03/2016 07:12:44,19.86,62.37,0,0,0.023441,0.133314,-0.822499,---,---,---
08/03/2016 07:12:48,19.87,62.28,---,---,---,---,---,---,---,---
08/03/2016 07:12:49,---,---,0,0,0.025185,0.13428,-0.822554,---,---,---
08/03/2016 07:12:53,19.88,62.21,---,---,---,---,---,---,---,---
08/03/2016 07:12:54,---,---,0,0,0.026992,0.135169,-0.822616,---,---,---
08/03/2016 07:12:58,19.88,62.13,---,---,---,---,---,---,---,---
08/03/2016 07:12:59,---,---,0,0,0.028804,0.136063,-0.822668,---,---,---
08/03/2016 07:13:03,19.89,62.06,---,---,---,---,---,---,---,---
08/03/2016 07:13:04,---,---,0,0,0.030536,0.136844,-0.822729,---,---,---
08/03/2016 07:13:08,19.9,---,---,---,---,---,---,---,---,---
08/03/2016 07:13:09,---,61.99,0,0,0.032442,0.137731,-0.822795,---,---,---
08/03/2016 07:13:13,19.91,---,---,---,---,---,---,---,---,---
08/03/2016 07:13:14,---,61.93,0,0,0.034456,0.138604,-0.822849,---,---,---
08/03/2016 07:13:18,19.92,61.87,---,---,---,---,---,---,---,---
08/03/2016 07:13:19,---,---,0,0,0.036454,0.139415,-0.822912,---,---,---
08/03/2016 07:13:23,19.92,61.82,---,---,---,---,---,---,---,---
08/03/2016 07:13:24,---,---,0,0,0.038489,0.140225,-0.822963,---,---,---
08/03/2016 07:13:28,19.93,61.76,---,---,---,---,---,---,---,---
08/03/2016 07:13:29,---,---,0,0,0.040531,0.141053,-0.82303,---,---,---
08/03/2016 07:13:33,19.94,61.71,---,---,---,---,---,---,---,---
08/03/2016 07:13:34,---,---,0,0,0.042545,0.14184,-0.823082,---,---,---
08/03/2016 07:13:38,19.94,61.66,---,---,---,---,---,---,---,---
08/03/2016 07:13:39,---,---,0,0,0.044536,0.142616,-0.823136,---,---,---
08/03/2016 07:13:43,19.95,61.6,---,---,---,---,---,---,---,---
08/03/2016 07:13:44,---,---,0,0,0.046507,0.14339,-0.823193,---,---,---
08/03/2016 07:13:48,19.96,---,---,---,---,---,---,---,---,---
08/03/2016 07:13:49,---,61.56,0,0,0.048361,0.144124,-0.823239,---,---,---
08/03/2016 07:13:53,19.96,61.51,---,---,---,---,---,---,---,---
08/03/2016 07:13:54,---,---,0,0,0.050218,0.144772,-0.823296,---,---,---
08/03/2016 07:13:58,19.97,61.47,---,---,---,---,---,---,---,---
08/03/2016 07:13:59,---,---,0,0,0.052075,0.145505,-0.823338,---,---,---
08/03/2016 07:14:03,19.98,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:04,---,61.44,0,0,0.053901,0.146235,-0.823387,---,---,---
08/03/2016 07:14:08,19.98,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:09,---,61.4,0,0,0.05561,0.146925,-0.823437,---,---,---
08/03/2016 07:14:13,19.99,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:14,---,61.36,0,0,0.057304,0.1476,-0.823473,---,---,---
08/03/2016 07:14:18,19.99,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:19,---,61.31,0,0,0.058967,0.148224,-0.823523,---,---,---
08/03/2016 07:14:23,20,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:24,---,61.27,0,0,0.060589,0.148864,-0.823554,---,---,---
08/03/2016 07:14:28,20,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:29,---,61.22,0,0,0.062098,0.149511,-0.823576,---,---,---
08/03/2016 07:14:33,20.01,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:34,---,61.13,0,0,0.063608,0.150148,-0.823626,---,---,---
08/03/2016 07:14:40,20.01,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:41,---,---,0,0,0.065042,0.150746,-0.823679,---,---,---
