date,RECORD,SerNo,O3_Avg,T_int,Flow_Avg,Cell_Pres_Avg,T_Air,T_inst,O3_Status,Fan_Status,Zero_Status,V_Batt,Met_Diag_Flags
4/1/16 10:00,,39,48,2.866666667,1920.666667,651.4333333,-2.266666667,10.06666667,-1,0,0,14.67666667,
4/1/16 11:00,,39,48.275,5.05,1972.5,653.825,-1.9,17.025,-1,0,0,14.6325,
4/1/16 12:00,,39,47.875,7.25,2011,653.675,-0.95,21.825,-1,0,0,14.54,
4/1/16 13:00,,39,47.575,8.125,2036,653.425,-6.94E-18,24.85,-1,0,0,14.525,
4/1/16 14:00,,39,47.975,7.9,2049.25,653.325,0.25,26.175,-1,0,0,14.5225,
4/1/16 15:00,,39,48.25,7.975,2053.25,653.525,0.525,26.6,-1,0,0,14.525,
4/1/16 16:00,,39,47.5,6.2,2044.75,656.025,-0.3,26.1,-1,0,0,14.035,
4/1/16 17:00,,39,47.275,2.175,1987.25,667.25,-1,23.625,-1,0,0,12.5625,
4/1/16 18:00,,39,46.65,0.1,1962.5,668.9,-1.7,21.225,-1,0,0,12.4375,
4/1/16 19:00,,39,45.125,-1.325,1936.5,670.475,-2.625,19.425,-1,0,0,12.4275,
4/1/16 20:00,,39,44.225,-2.425,1878.25,672.45,-3.375,18,-1,0,0,12.375,
4/1/16 21:00,,39,44.925,-3,1852.25,673.55,-3.35,17.025,-1,0,0,12.3075,
4/1/16 22:00,,39,45.3,-3.25,1841,674.775,-3.675,16.55,-1,0,0,12.315,
4/1/16 23:00,,39,45.575,-3.725,1823,675.55,-3.625,16.225,-1,0,0,12.21,
4/2/16 0:00,,39,46.525,-4.075,1831,675.55,-3.6,15.825,-1,0,0,12.2375,
4/2/16 1:00,,39,46.9,-4,1829,675.5,-3.225,15.7,-1,0,0,12.1675,
4/2/16 2:00,,39,47,-3.5,1827.25,675.225,-3.05,15.725,-1,0,0,12.195,
4/2/16 3:00,,39,46.775,-3.45,1825.75,675.3,-2.9,15.875,-1,0,0,12.1625,
4/2/16 4:00,,39,46.975,-3.35,1825,675.575,-2.775,15.925,-1,0,0,12.145,
4/2/16 5:00,,39,46.975,-3.55,1821.75,675.975,-3.175,15.925,-1,0,0,12.165,
