date,RECORD,SerNo,O3_Avg,T_int,Flow_Avg,Cell_Pres_Avg,T_Air,T_inst,O3_Status,Fan_Status,Zero_Status,V_Batt,Met_Diag_Flags
4/29/16 16:00,,2,58.825,7,2252.25,575.475,0.5,15.375,,0,0,13.37,
4/29/16 17:00,,2,55.1,8.05,2364.75,576.025,-0.1,20.95,,0,0,12.9875,
4/29/16 18:00,,2,58.35,5.45,2353,578.9,-1.825,21.625,,0,0,12.6675,
4/29/16 19:00,,2,60.075,1.4,2271.25,582.45,-2.9,19.35,,0,0,12.4725,
4/29/16 20:00,,2,64.8,-0.4,2222,583.275,-3.575,17.55,,0,0,12.445,
4/29/16 21:00,,2,61.15,-1.55,2177.25,584.075,-3.7,16.125,,0,0,12.41,
4/29/16 22:00,,2,57.1,-2.375,2143.25,584.525,-4.1,15.225,,0,0,12.3825,
4/29/16 23:00,,2,55.975,-2.825,2117.75,584.925,-3.975,14.5,,0,0,12.35,
4/30/16 0:00,,2,54.825,-3.05,2092.25,585.625,-4.2,14.15,,0,0,12.325,
4/30/16 1:00,,2,53.65,-3.05,2080.25,585.825,-4.2,13.9,,0,0,12.305,
4/30/16 2:00,,2,53.05,-2.875,2073.25,586.025,-4.125,13.925,,0,0,12.275,
4/30/16 3:00,,2,51.225,-2.825,2068,586.175,-4.35,14.1,,0,0,12.2625,
4/30/16 4:00,,2,48.2,-2.95,2061,586.225,-4.525,14.025,,0,0,12.2325,
4/30/16 5:00,,2,46.775,-3.25,2053,586.575,-5,13.85,,0,0,12.215,
4/30/16 6:00,,2,52.675,-3.35,2043.5,587.275,-5.325,13.7,,0,0,12.2125,
4/30/16 7:00,,2,54.1,-0.375,2078.75,586.275,-4.525,14.575,,0,0,12.3925,
4/30/16 8:00,,2,47.35,7.375,2427.25,575.875,-1.7,18.4,,0,0,13.3825,
4/30/16 9:00,,2,44.45,11.975,2347.5,576.75,-0.7,23.675,,0,0,13.38,
4/30/16 10:00,,2,45.125,14.875,2366,576.175,-0.05,27.875,,0,0,13.5925,
4/30/16 11:00,,2,45.275,13.125,2447.75,575.225,-1.725,29.025,,0,0,13.7125,
4/30/16 12:00,,2,42,12.525,2557.5,571.55,-1.6,28.3,,0,0,13.9375,
4/30/16 13:00,,2,40.625,12.325,2567.5,571.825,-2.1,28.2,,0,0,13.925,
4/30/16 14:00,,2,42.2,10.575,2579.5,571.525,-2.05,26.6,,0,0,14.0325,
4/30/16 15:00,,2,42.975,7.7,2578.75,570.625,-2,24.475,,0,0,14.1275,
4/30/16 16:00,,2,43.125,6.175,2410.75,574.775,-2,23.025,,0,0,13.545,
4/30/16 17:00,,2,43.9,4.175,2193.5,580.825,-2.25,20.575,,0,0,13.1025,
4/30/16 18:00,,2,43.475,1.775,2108.75,583.275,-2.95,17.75,,0,0,12.96,
4/30/16 19:00,,2,42.175,-0.65,2014.5,585.75,-3.1,14.4,,0,0,12.85,
4/30/16 20:00,,2,42.125,-1.65,1957,587.3,-3.55,12.625,,0,0,12.79,
4/30/16 21:00,,2,42.05,-2.2,1930.5,588.45,-3.75,12.1,,0,0,12.745,
4/30/16 22:00,,2,43.15,-2.75,1906.5,589,-3.925,11.075,,0,0,12.6975,
4/30/16 23:00,,2,42.4,-3.175,1882.75,589.675,-4.25,10.65,,0,0,12.66,
5/1/16 0:00,,2,43.325,-3.75,1871.5,590.45,-4.4,10.725,,0,0,12.6175,
5/1/16 1:00,,2,45.725,-4.325,1860.75,590.725,-4.45,10.6,,0,0,12.575,
5/1/16 2:00,,2,47.95,-4.625,1852.5,591,-4.7,10.675,,0,0,12.5425,
5/1/16 3:00,,2,46.875,-5.35,1843,590.875,-4.725,10.475,,0,0,12.4925,
5/1/16 4:00,,2,48.425,-4.925,1824.5,590.725,-4.525,10.175,,0,0,12.455,
5/1/16 5:00,,2,47.575,-5.4,1823,591.425,-5.275,10.675,,0,0,12.425,
5/1/16 6:00,,2,49.5,-2.95,1845,591.325,-4.1,10.95,,0,0,12.5575,
5/1/16 7:00,,2,47.675,1.575,2012,586.25,-3.575,14.125,,0,0,13.1525,
5/1/16 8:00,,2,43.725,5.95,2240.5,580,-0.8,17.75,,0,0,13.6875,
5/1/16 9:00,,2,34.775,12.6,2411.5,575.25,2.1,23.3,,0,0,14.0275,
5/1/16 10:00,,2,34.4,15.025,2486.25,575.725,0.9,28.225,,0,0,13.81,
5/1/16 11:00,,2,38.85,13.05,2397.5,579.825,0.1,29.4,,0,0,13.485,
5/1/16 12:00,,2,44.275,11.925,2922,565,-0.45,28.675,,0,0,14.855,
5/1/16 13:00,,2,45.925,11.35,2598,574.6,0.725,28,,0,0,14.0675,
5/1/16 14:00,,2,45.7,14.325,3055.25,562.1,3.575,28.8,,0,0,15.325,
5/1/16 15:00,,2,46.7,12.1,2572.25,576.425,-0.5,28.15,,0,0,13.6775,
5/1/16 16:00,,2,50.95,7.1,2356.75,582.075,-1.5,25.325,,0,0,13.26,
5/1/16 17:00,,2,52.25,3.2,2222.25,585.025,-1.65,21.375,,0,0,13.075,
