date,wd,ws,O3_Avg,T_Int,Flow_Avg,Cell_Pres_Avg,T_Air,T_inst,V_Batt
4/5/16 0:00,,,,,,,,,
4/5/16 1:00,,,,,,,,,
4/5/16 2:00,,,,,,,,,
4/5/16 3:00,,,,,,,,,
4/5/16 4:00,,,,,,,,,
4/5/16 5:00,,,,,,,,,
4/5/16 6:00,,,,,,,,,
4/5/16 7:00,,,,,,,,,
4/5/16 8:00,,,,,,,,,
4/5/16 9:00,,,,,,,,,
4/5/16 10:00,,,,,,,,,
4/5/16 11:00,,,,,,,,,
4/5/16 12:00,,,,,,,,,
4/5/16 13:00,,,,,,,,,
4/5/16 14:00,,,,,,,,,
4/5/16 15:00,,,,,,,,,
4/5/16 16:00,,,,,,,,,
4/5/16 17:00,,,,,,,,,
4/5/16 18:00,,,,,,,,,
4/5/16 19:00,,,,,,,,,
4/5/16 20:00,,,,,,,,,
4/5/16 21:00,,,,,,,,,
4/5/16 22:00,,,,,,,,,
4/5/16 23:00,,,,,,,,,
4/6/16 0:00,,,,,,,,,
4/6/16 1:00,,,,,,,,,
4/6/16 2:00,,,,,,,,,
4/6/16 3:00,,,,,,,,,
4/6/16 4:00,,,,,,,,,
4/6/16 5:00,,,,,,,,,
4/6/16 6:00,,,,,,,,,
4/6/16 7:00,,,,,,,,,
4/6/16 8:00,,,,,,,,,
4/6/16 9:00,,,,,,,,,
4/6/16 10:00,147.5630076,5.157574468,43.2665,15.05233333,3434.9,805.7333333,14.736,27.44833333,14.22366667
4/6/16 11:00,119.9065429,4.587075472,,18.37679245,3157.54,788.712,18.27849057,30.99807692,13.82358491
4/6/16 12:00,253.6976539,3.0354,52.86616667,20.35766667,3203.416667,801.0166667,19.26116667,33.52,13.7235
4/6/16 13:00,235.3875959,2.949633333,55.77933333,22.10266667,3205.25,799.8033333,21.11916667,35.78666667,13.69033333
4/6/16 14:00,222.309524,2.702566667,56.396,23.93533333,3159.05,799.255,24.12116667,36.43333333,13.60133333
4/6/16 15:00,144.7011449,1.990183333,55.76433333,26.38566667,2942.35,799.8366667,25.2265,37.65,13.35583333
4/6/16 16:00,223.7136282,2.8249,54.04983333,27.36333333,2927.166667,799.3666667,24.95983333,39.66666667,13.3215
4/6/16 17:00,275.3137777,4.098833333,52.177,26.0625,2543.383333,801.9483333,22.42633333,38.20333333,12.80616667
4/6/16 18:00,301.9868273,3.812066667,44.4235,22.461,2350.283333,804.0833333,17.5625,34.32833333,12.62116667
4/6/16 19:00,15.66130391,2.507,39.16266667,16.51566667,2253.183333,806,12.84933333,30.28,12.6105
4/6/16 20:00,16.26630296,6.38825,28.6265,12.53216667,2206.2,806.7833333,9.367333333,26.79,12.587
4/6/16 21:00,9.087325734,6.31155,29.576,10.12566667,2158.65,807.0166667,8.139583333,23.90333333,12.56016667
4/6/16 22:00,9.475227296,4.63055,32.217,9.236666667,2120.866667,807.1166667,7.4483,22.71666667,12.53016667
4/6/16 23:00,21.65436906,2.723316667,27.58066667,7.8558,2106.983333,807.0666667,5.739016667,21.59,12.502
4/7/16 0:00,15.53212026,3.620616667,,6.764016667,2073.283333,809.3,5.169716667,20.38333333,12.46766667
4/7/16 1:00,109.3409389,2.08965,21.62766667,5.973166667,2049.95,808,3.961516667,19.69833333,12.4475
4/7/16 2:00,37.25358178,5.211233333,22.34766667,4.74405,2012.5,808.4166667,3.348416667,18.52166667,12.42283333
4/7/16 3:00,47.05819957,4.376966667,27.35466667,4.6868,1996.833333,808.6833333,3.764716667,18.14,12.39283333
4/7/16 4:00,45.3283399,4.200016667,25.064,4.050533333,1978.55,808.95,2.589716667,17.77166667,12.37133333
4/7/16 5:00,64.35227013,5.202133333,27.57883333,3.924933333,1950.183333,808.45,3.28305,17.32666667,12.34683333
4/7/16 6:00,96.69742356,6.3912,27.53683333,4.53475,2010.016667,807.8833333,5.2645,17.71,12.419
4/7/16 7:00,126.4046076,8.79605,27.29266667,7.852783333,2482.05,804.9166667,8.82645,21.69,13.16183333
4/7/16 8:00,127.4964731,8.211716667,30.86816667,11.74,2930.966667,801.0033333,12.61316667,26.32833333,13.6625
4/7/16 9:00,115.974548,5.671283333,36.05166667,15.6795,3351.95,797.0483333,16.217,30.17666667,14.12066667
4/7/16 10:00,132.9824178,5.527916667,44.561,19.31916667,3486.466667,794.7316667,19.41,33.69,14.14566667
4/7/16 11:00,145.1786809,4.528166667,52.0675,22.32516667,3455.2,793.86,21.97033333,36.77333333,14.04483333
4/7/16 12:00,167.0405288,3.73085,54.74766667,24.64166667,3112.766667,795.1783333,23.8795,38.57666667,13.60766667
4/7/16 13:00,174.881236,4.461033333,55.84416667,26.08116667,3090.933333,794.5016667,25.11866667,39.7,13.5445
4/7/16 14:00,165.6764292,3.890783333,58.02633333,27.58116667,3034.383333,793.8933333,26.80216667,40.165,13.473
4/7/16 15:00,170.6479442,3.87135,58.6495,29.37066667,2923.25,793.4516667,27.483,41.02666667,13.29316667
4/7/16 16:00,150.3581872,3.6944,58.465,28.816,2914.666667,792.82,26.25983333,41.985,13.26266667
4/7/16 17:00,142.0243688,3.497783333,56.12916667,25.525,2684.866667,794.9733333,23.39216667,38.915,13.03083333
4/7/16 18:00,106.9087541,2.591933333,48.7215,22.495,2541.516667,796.5016667,18.74166667,36.29666667,12.89433333
4/7/16 19:00,28.93865752,5.120883333,36.512,17.93516667,2449.783333,797.7383333,14.63266667,32.46666667,12.82833333
4/7/16 20:00,26.91430667,6.585433333,38.53366667,15.3955,2348.4,799.4233333,13.6535,29.37666667,12.78316667
4/7/16 21:00,21.82578713,7.246816667,42.34016667,14.5395,2304.95,799.8533333,13.52083333,28.02,12.7415
4/7/16 22:00,123.7931747,2.549633333,39.19516667,14.0455,2292.85,800.0316667,12.228,27.505,12.7135
4/7/16 23:00,19.85705246,3.6136,39.199,12.42116667,2255.083333,800.4833333,10.79133333,26.23833333,12.67366667
4/8/16 0:00,46.93547012,3.27535,,11.96816667,2240.016667,802.2833333,10.29583333,25.51166667,12.6355
4/8/16 1:00,116.3055787,1.68635,35.12783333,10.41416667,2198.166667,801,8.671033333,24.35833333,12.599
4/8/16 2:00,72.9922691,3.4449,35.74283333,9.510833333,2163.066667,801,8.67185,23.20333333,12.55816667
4/8/16 3:00,101.155414,6.131933333,35.8505,9.758666667,2133.8,801,9.198666667,22.97666667,12.50166667
4/8/16 4:00,96.84328629,6.988216667,35.33866667,10.06933333,2105,801.7833333,9.816666667,22.85166667,12.44783333
4/8/16 5:00,57.73249628,8.089316667,35.3795,10.12816667,2086,802,9.430666667,22.735,12.40016667
4/8/16 6:00,96.66645522,7.096433333,35.835,10.47366667,2103.383333,802,10.31166667,23.01,12.4355
4/8/16 7:00,96.06139251,9.4726,35.70983333,12.4285,2325.016667,800.5966667,12.73583333,24.72166667,12.7685
4/8/16 8:00,112.6499635,11.01076667,31.5225,14.64166667,2677.383333,797.4183333,14.07983333,27.61,13.23266667
4/8/16 9:00,124.0240609,7.739416667,38.05733333,16.75166667,2824.283333,795.48,17.07783333,29.91666667,13.34683333
4/8/16 10:00,133.1623953,9.157833333,44.72516667,19.85266667,3066.133333,792.7433333,19.6915,33.45333333,13.58233333
4/8/16 11:00,107.9585258,6.122566667,50.66,23.53916667,3341.283333,790.155,23.46533333,37.28333333,13.93783333
4/8/16 12:00,154.002342,4.424633333,54.4595,26.82466667,3348.6,789.0583333,26.1935,40.515,13.9075
4/8/16 13:00,217.3403336,4.213183333,56.49666667,28.53216667,3174.05,789.0883333,27.83933333,41.615,13.66566667
4/8/16 14:00,250.4136639,5.152883333,56.1115,29.58916667,3015.966667,789.1366667,29.223,41.465,13.421
