date,wd,ws,O3_Avg
4/1/16 0:00,18.8,8.2,40
4/1/16 1:00,29.6,9.1,40
4/1/16 2:00,9.9,12.8,33
4/1/16 3:00,20.4,12.7,34
4/1/16 4:00,20.6,13.2,34
4/1/16 5:00,19.9,13.9,34
4/1/16 6:00,21.1,11.6,32
4/1/16 7:00,23.1,8.7,32
4/1/16 8:00,11.5,9.2,35
4/1/16 9:00,16.2,10.9,40
4/1/16 10:00,7.9,11,44
4/1/16 11:00,5,12.2,48
4/1/16 12:00,12.7,9.4,49
4/1/16 13:00,5.3,10.7,50
4/1/16 14:00,3.3,9.5,50
4/1/16 15:00,25,8.8,51
4/1/16 16:00,349.6,8.5,50
4/1/16 17:00,332.5,10.2,49
4/1/16 18:00,357.4,8,47
4/1/16 19:00,27.7,7.2,45
4/1/16 20:00,59.1,6.1,43
4/1/16 21:00,47.5,6.8,41
4/1/16 22:00,22.3,7.9,37
4/1/16 23:00,28.2,10.5,35
4/2/16 0:00,25.1,11.4,35
4/2/16 1:00,33.1,9.8,35
4/2/16 2:00,27.8,11,33
4/2/16 3:00,36,10.3,31
4/2/16 4:00,30.8,8.8,30
4/2/16 5:00,38.6,8.8,26
4/2/16 6:00,24.9,9.8,25
4/2/16 7:00,27.3,8.9,27
4/2/16 8:00,2.9,9.7,32
4/2/16 9:00,18.5,6.3,37
4/2/16 10:00,6.1,3,44
4/2/16 11:00,242.3,2.6,47
4/2/16 12:00,239.6,4.7,49
4/2/16 13:00,231.6,7.5,49
4/2/16 14:00,203.9,7.5,49
4/2/16 15:00,201.2,6.8,49
4/2/16 16:00,211.2,4.5,48
4/2/16 17:00,298.6,4.8,46
4/2/16 18:00,25.4,4.1,42
4/2/16 19:00,86.9,6.9,39
4/2/16 20:00,55.9,6.5,41
4/2/16 21:00,33.3,8.5,36
4/2/16 22:00,16.9,8.1,32
4/2/16 23:00,5.7,9.6,29
4/3/16 0:00,16.8,10.3,28
4/3/16 1:00,19.1,11.8,29
4/3/16 2:00,28.6,10.6,28
4/3/16 3:00,21.1,12.6,27
4/3/16 4:00,26.7,11.7,25
4/3/16 5:00,21.1,14,20
4/3/16 6:00,19,14.7,21
4/3/16 7:00,17.6,12.9,24
4/3/16 8:00,3.5,12.2,27
4/3/16 9:00,2.9,11,33
4/3/16 10:00,11.6,7.1,39
4/3/16 11:00,222.7,3.8,45
4/3/16 12:00,190.5,4.3,47
4/3/16 13:00,198,3.7,47
4/3/16 14:00,218.6,4.8,51
4/3/16 15:00,255.6,4.9,52
4/3/16 16:00,242.8,4.4,53
4/3/16 17:00,215.9,3.8,52
4/3/16 18:00,156.9,3.3,46
4/3/16 19:00,97.7,5.6,42
4/3/16 20:00,61.4,8.6,43
4/3/16 21:00,44.7,7.6,36
4/3/16 22:00,35.5,7.6,37
4/3/16 23:00,24.8,11.1,36
4/4/16 0:00,16.2,11.9,35
4/4/16 1:00,33.7,9.2,34
4/4/16 2:00,27.4,8.2,29
4/4/16 3:00,22.8,12.3,28
4/4/16 4:00,25.8,12.8,26
4/4/16 5:00,21.8,13.5,23
4/4/16 6:00,22.5,13.1,21
4/4/16 7:00,11.1,10.3,25
4/4/16 8:00,4.6,11.3,30
4/4/16 9:00,10,11.7,35
4/4/16 10:00,23.5,8.4,43
4/4/16 11:00,302.3,3.7,46
4/4/16 12:00,203.5,4.8,47
4/4/16 13:00,234.3,5.3,46
4/4/16 14:00,238.2,4.6,45
4/4/16 15:00,265.8,4.6,45
4/4/16 16:00,322.1,3.9,45
4/4/16 17:00,5,3.1,44
4/4/16 18:00,80.5,5.2,36
4/4/16 19:00,84.6,8.2,39
4/4/16 20:00,40.7,8.7,36
4/4/16 21:00,23.6,5.4,27
4/4/16 22:00,35.5,3.8,27
4/4/16 23:00,31.7,5,26
4/5/16 0:00,23.6,5.4,26
4/5/16 1:00,20.9,6.7,26
4/5/16 2:00,36.4,5.8,26
4/5/16 3:00,41.4,4.9,23
4/5/16 4:00,41.6,5,21
4/5/16 5:00,35,4.4,20
4/5/16 6:00,41.3,3.3,15
4/5/16 7:00,17.3,2.9,19
4/5/16 8:00,216.4,3.6,25
4/5/16 9:00,201.3,5.4,41
4/5/16 10:00,214.5,9.4,45
4/5/16 11:00,244.8,12,48
4/5/16 12:00,267.4,15,49
4/5/16 13:00,322.1,9,
4/5/16 14:00,337.1,10.7,53
4/5/16 15:00,343.6,11.9,56
4/5/16 16:00,11.3,14.6,52
4/5/16 17:00,20.5,11.3,50
4/5/16 18:00,30.9,9.9,49
4/5/16 19:00,50.1,8.5,46
4/5/16 20:00,43.8,5.7,44
4/5/16 21:00,43.3,6.7,40
4/5/16 22:00,32.2,9.1,36
4/5/16 23:00,27.8,11,36
4/6/16 0:00,22.3,11.4,35
4/6/16 1:00,20,10.8,33
4/6/16 2:00,19.8,12.6,33
4/6/16 3:00,17.9,13.3,32
4/6/16 4:00,22.7,11.7,30
4/6/16 5:00,28.6,10.6,28
4/6/16 6:00,23.7,11.6,26
4/6/16 7:00,3.9,13.5,29
4/6/16 8:00,0.8,13.2,32
4/6/16 9:00,1.2,9.4,35
4/6/16 10:00,11.5,7,42
4/6/16 11:00,209.5,3.9,47
4/6/16 12:00,221.2,4.2,51
4/6/16 13:00,234.6,5.2,53
4/6/16 14:00,231.5,5.9,55
4/6/16 15:00,185.4,4.2,55
4/6/16 16:00,218.7,4,51
4/6/16 17:00,217.2,5.2,49
4/6/16 18:00,164.9,4.1,46
4/6/16 19:00,94.1,5.2,42
4/6/16 20:00,83.3,7,42
4/6/16 21:00,64.7,4.1,36
4/6/16 22:00,21.6,7.4,32
4/6/16 23:00,22.1,11.1,33
4/7/16 0:00,25.1,10.3,33
4/7/16 1:00,24.1,11.2,30
4/7/16 2:00,30.5,9.7,30
4/7/16 3:00,19.6,12.3,27
4/7/16 4:00,18.4,15,27
4/7/16 5:00,9.8,14.3,26
4/7/16 6:00,27.7,9.9,23
4/7/16 7:00,30.9,8.4,25
4/7/16 8:00,5,10.3,29
4/7/16 9:00,3.3,8.4,34
4/7/16 10:00,351.8,5.3,43
4/7/16 11:00,182.4,3.4,50
4/7/16 12:00,24.3,6.8,54
4/7/16 13:00,342.7,7.5,54
4/7/16 14:00,350.4,6.4,55
4/7/16 15:00,16.2,5.9,56
4/7/16 16:00,4.1,6.2,56
4/7/16 17:00,5.3,5.6,54
4/7/16 18:00,39.7,3.3,49
4/7/16 19:00,104.1,4.4,45
4/7/16 20:00,54.3,7.8,42
4/7/16 21:00,16,11.7,38
4/7/16 22:00,20.7,14.4,39
4/7/16 23:00,14.1,14.6,40
4/8/16 0:00,20.2,13.6,40
4/8/16 1:00,11.9,13.6,39
4/8/16 2:00,21.6,14.1,38
4/8/16 3:00,24.2,10.6,38
4/8/16 4:00,21.8,8.1,37
4/8/16 5:00,30.9,10.4,33
4/8/16 6:00,26.5,13.2,29
4/8/16 7:00,36.6,7.4,35
4/8/16 8:00,26.9,5.8,39
4/8/16 9:00,5,8.7,41
4/8/16 10:00,19.9,6.2,46
4/8/16 11:00,26.9,3.7,51
4/8/16 12:00,181,3.7,53
4/8/16 13:00,223.6,3.6,54
4/8/16 14:00,215.2,4.8,54
4/8/16 15:00,220.9,5.2,53
4/8/16 16:00,254.5,9.5,54
4/8/16 17:00,272.1,10.6,53
4/8/16 18:00,237.4,7.9,48
4/8/16 19:00,183.3,8.8,48
4/8/16 20:00,200.5,3.1,47
4/8/16 21:00,184,10.2,47
4/8/16 22:00,179.2,9.6,44
4/8/16 23:00,204.7,5.1,41
4/9/16 0:00,219.1,5.7,42
4/9/16 1:00,209.6,3.7,41
4/9/16 2:00,165.1,2.9,40
4/9/16 3:00,68.9,2.6,36
4/9/16 4:00,173.7,3.9,36
4/9/16 5:00,201.7,4.3,36
4/9/16 6:00,211.1,3.6,38
4/9/16 7:00,207.5,3.7,39
4/9/16 8:00,185,4.2,36
4/9/16 9:00,206.8,6.7,34
4/9/16 10:00,167.4,5.7,44
4/9/16 11:00,164.7,3.2,50
4/9/16 12:00,217.1,6.2,47
4/9/16 13:00,240.7,5.8,46
4/9/16 14:00,10.8,6.7,42
4/9/16 15:00,359.2,5.6,43
4/9/16 16:00,7.4,7.3,42
4/9/16 17:00,26.3,6.3,38
4/9/16 18:00,20.3,7.1,37
4/9/16 19:00,51.9,5.7,32
4/9/16 20:00,44.5,6.2,29
4/9/16 21:00,23.4,8.9,28
4/9/16 22:00,27,8.6,30
4/9/16 23:00,23,9.9,29
4/10/16 0:00,21.4,9.3,28
4/10/16 1:00,21.4,11.7,26
4/10/16 2:00,41.9,7.9,26
4/10/16 3:00,9.5,8.6,23
4/10/16 4:00,14.7,7.8,25
4/10/16 5:00,5.7,9.9,26
4/10/16 6:00,6.9,9.8,24
4/10/16 7:00,20.6,9.8,22
4/10/16 8:00,13.2,11.3,25
4/10/16 9:00,359.9,13.3,29
4/10/16 10:00,15.9,11,36
4/10/16 11:00,24.2,9.1,41
4/10/16 12:00,2.4,5.4,45
4/10/16 13:00,238.8,5,45
4/10/16 14:00,113.8,7.9,47
4/10/16 15:00,12.5,6.4,48
4/10/16 16:00,45.3,5.9,49
4/10/16 17:00,117.6,7.1,49
4/10/16 18:00,70.4,6.4,46
4/10/16 19:00,64.8,7.3,41
4/10/16 20:00,34.5,6.8,41
4/10/16 21:00,19.5,11,39
4/10/16 22:00,8.4,7,39
4/10/16 23:00,14.9,8.4,39
4/11/16 0:00,21.4,8.2,36
4/11/16 1:00,31.7,8.4,31
4/11/16 2:00,25,9.8,27
4/11/16 3:00,21.2,12.5,25
4/11/16 4:00,18.1,12.5,25
4/11/16 5:00,24,11.1,20
4/11/16 6:00,22.2,11.1,20
4/11/16 7:00,23.6,10.1,22
4/11/16 8:00,25.9,7.8,28
4/11/16 9:00,26.7,4.7,36
4/11/16 10:00,173.9,4.1,42
4/11/16 11:00,180.4,6.2,44
4/11/16 12:00,205.8,6.3,46
4/11/16 13:00,196.2,6.5,49
4/11/16 14:00,345.1,5.9,47
4/11/16 15:00,347.1,9,45
4/11/16 16:00,52.6,5.6,48
4/11/16 17:00,44.4,5.8,47
4/11/16 18:00,53.4,6.3,46
4/11/16 19:00,75.9,6.5,42
4/11/16 20:00,48.1,8.5,42
4/11/16 21:00,44.9,6.8,43
4/11/16 22:00,24.6,6.5,43
4/11/16 23:00,19.8,10.3,38
4/12/16 0:00,26.4,9.8,33
4/12/16 1:00,27.3,7.6,31
4/12/16 2:00,31.1,7.8,29
4/12/16 3:00,20.1,10.3,28
4/12/16 4:00,15.9,11.5,26
4/12/16 5:00,18.2,12.5,24
4/12/16 6:00,21.8,10.1,22
4/12/16 7:00,12.7,9.6,23
4/12/16 8:00,12.9,8.7,27
4/12/16 9:00,21.2,5.2,34
4/12/16 10:00,229.4,3.6,41
4/12/16 11:00,218,5.8,44
4/12/16 12:00,262.8,7.3,46
4/12/16 13:00,358.8,9,43
4/12/16 14:00,356.4,6.4,45
4/12/16 15:00,59.2,4,47
4/12/16 16:00,249.4,4.1,47
4/12/16 17:00,211.8,8,46
4/12/16 18:00,211.2,5.5,45
4/12/16 19:00,91.4,3.7,41
4/12/16 20:00,65.9,5.9,39
4/12/16 21:00,62.5,6.8,39
4/12/16 22:00,35.5,6.2,37
4/12/16 23:00,39.2,6.1,34
4/13/16 0:00,40.1,7.1,30
4/13/16 1:00,23,9.8,30
4/13/16 2:00,21.8,12,29
4/13/16 3:00,24.3,11.1,26
4/13/16 4:00,24.3,10.8,24
4/13/16 5:00,19.8,13,22
4/13/16 6:00,20,11.9,19
4/13/16 7:00,3.9,10.6,24
4/13/16 8:00,4.9,11.2,27
4/13/16 9:00,16.6,9.8,34
4/13/16 10:00,48.2,5.2,42
4/13/16 11:00,199.4,4.3,46
4/13/16 12:00,203.2,6.2,47
4/13/16 13:00,239.7,6.9,47
4/13/16 14:00,274,7,47
4/13/16 15:00,254.6,5.4,49
4/13/16 16:00,259.1,4.5,48
4/13/16 17:00,250.2,3,46
4/13/16 18:00,162.5,3.2,43
4/13/16 19:00,128.8,2.7,40
4/13/16 20:00,126.7,2.8,36
4/13/16 21:00,130.8,1.1,37
4/13/16 22:00,129.1,2.7,40
4/13/16 23:00,29.7,1.9,41
4/14/16 0:00,61.9,2.4,32
4/14/16 1:00,52.9,2.8,32
4/14/16 2:00,58.9,2.6,30
4/14/16 3:00,60.4,2.2,28
4/14/16 4:00,25,2.9,26
4/14/16 5:00,16.4,5.4,23
4/14/16 6:00,15.1,4.4,20
4/14/16 7:00,12.1,3.1,23
4/14/16 8:00,17.8,4.5,30
4/14/16 9:00,197.2,10,43
4/14/16 10:00,183.4,15.9,49
4/14/16 11:00,224.3,13.7,48
4/14/16 12:00,229.4,12.3,47
4/14/16 13:00,213.2,13.1,50
4/14/16 14:00,186.7,17.2,53
4/14/16 15:00,196.2,11.2,52
4/14/16 16:00,185.1,10.7,50
4/14/16 17:00,178.8,12.6,51
4/14/16 18:00,192.4,9.6,49
4/14/16 19:00,208.5,4.8,46
4/14/16 20:00,203.1,8.1,46
4/14/16 21:00,3.6,13.9,47
4/14/16 22:00,53.6,15.2,45
4/14/16 23:00,44.7,11,45
4/15/16 0:00,35.2,14.6,42
4/15/16 1:00,27.8,8.8,39
4/15/16 2:00,10.1,12.6,41
4/15/16 3:00,11.1,11.5,43
4/15/16 4:00,7.8,12,44
4/15/16 5:00,8,12.1,45
4/15/16 6:00,8.1,9.4,44
4/15/16 7:00,3.2,8.2,43
4/15/16 8:00,359.8,9,39
4/15/16 9:00,1.7,10,39
4/15/16 10:00,7.4,11.3,40
4/15/16 11:00,8.6,13.7,45
4/15/16 12:00,3.5,13.7,48
4/15/16 13:00,28,10.2,50
4/15/16 14:00,52.5,10,52
4/15/16 15:00,11.2,11.1,53
4/15/16 16:00,20.4,13.2,53
4/15/16 17:00,54.4,12.5,52
4/15/16 18:00,64.2,13.7,52
4/15/16 19:00,70.2,19.2,53
4/15/16 20:00,59.2,15.5,53
4/15/16 21:00,59.2,14.5,55
4/15/16 22:00,39.3,12.5,53
4/15/16 23:00,33.9,12.7,51
4/16/16 0:00,53.7,14.9,53
4/16/16 1:00,37,11.2,50
4/16/16 2:00,53.2,14.8,50
4/16/16 3:00,50,12.6,51
4/16/16 4:00,33.3,10.9,49
4/16/16 5:00,56.1,14.6,47
4/16/16 6:00,55.2,15.2,46
4/16/16 7:00,45.3,14.8,43
4/16/16 8:00,28.7,16.8,39
4/16/16 9:00,31.3,15.9,38
4/16/16 10:00,29.4,17,39
4/16/16 11:00,28.6,15.5,40
4/16/16 12:00,16.4,14.8,40
4/16/16 13:00,16.3,14,39
4/16/16 14:00,36.1,12.6,38
4/16/16 15:00,25.5,13.5,36
4/16/16 16:00,28.7,14.1,35
4/16/16 17:00,32.7,13,35
4/16/16 18:00,61.2,12,34
4/16/16 19:00,44.4,9,35
4/16/16 20:00,45.8,8.8,35
4/16/16 21:00,51.9,9.2,34
4/16/16 22:00,71.1,10,34
4/16/16 23:00,49,10.2,33
4/17/16 0:00,51.6,10.4,35
4/17/16 1:00,27,9.4,35
4/17/16 2:00,47.1,9.7,34
4/17/16 3:00,30.6,9.4,35
4/17/16 4:00,65.4,13.3,41
4/17/16 5:00,67.6,13.5,41
4/17/16 6:00,66.1,12.1,40
4/17/16 7:00,64.7,12.9,37
4/17/16 8:00,60.7,10.9,37
4/17/16 9:00,44.8,9,38
4/17/16 10:00,23.5,11.3,41
4/17/16 11:00,14.8,13.3,43
4/17/16 12:00,28.1,10.2,44
4/17/16 13:00,14.6,9.3,45
4/17/16 14:00,18.1,12.2,45
4/17/16 15:00,19.2,11.9,45
4/17/16 16:00,26.8,12.2,46
4/17/16 17:00,22.1,12.3,46
4/17/16 18:00,25.1,11.4,47
4/17/16 19:00,33.3,9.3,47
4/17/16 20:00,34.2,9.4,46
4/17/16 21:00,35.7,8.5,45
4/17/16 22:00,39.1,8,44
4/17/16 23:00,31.2,8.7,44
4/18/16 0:00,39,8.9,44
4/18/16 1:00,36.4,8.6,44
4/18/16 2:00,44,8.3,44
4/18/16 3:00,34.7,7.9,43
4/18/16 4:00,38.2,6.3,40
4/18/16 5:00,13.3,5.8,38
4/18/16 6:00,13.4,4.4,36
4/18/16 7:00,356.8,2.7,37
4/18/16 8:00,196.9,4.4,32
4/18/16 9:00,209.9,4,37
4/18/16 10:00,337.4,5.4,38
4/18/16 11:00,352.4,5.5,42
4/18/16 12:00,340.4,6.5,44
4/18/16 13:00,350.5,7.9,46
4/18/16 14:00,341.7,7.5,46
4/18/16 15:00,350.2,8.3,46
4/18/16 16:00,10.9,9.2,47
4/18/16 17:00,159.8,7.8,47
4/18/16 18:00,196.5,4.5,44
4/18/16 19:00,193.1,3,43
4/18/16 20:00,75.1,2.6,33
4/18/16 21:00,61.2,5.1,30
4/18/16 22:00,53.5,5,28
4/18/16 23:00,22.4,7.4,27
4/19/16 0:00,21.3,8.7,29
4/19/16 1:00,55.4,4.1,28
4/19/16 2:00,40.9,5.9,27
4/19/16 3:00,22.6,6.6,21
4/19/16 4:00,15.7,8.8,19
4/19/16 5:00,27.4,7.9,22
4/19/16 6:00,19.5,7.4,21
4/19/16 7:00,22.3,7.9,26
4/19/16 8:00,17.6,9.3,29
4/19/16 9:00,359.4,8.8,35
4/19/16 10:00,359.4,5.3,42
4/19/16 11:00,15.2,3.9,52
4/19/16 12:00,218.1,5.2,52
4/19/16 13:00,257.2,5,52
4/19/16 14:00,209.5,4.3,54
4/19/16 15:00,179.8,4,55
4/19/16 16:00,188.7,2.8,54
4/19/16 17:00,180.6,3.1,52
4/19/16 18:00,98.6,4.4,50
4/19/16 19:00,89.7,4.3,45
4/19/16 20:00,92.5,5.5,42
4/19/16 21:00,58.3,4.3,38
4/19/16 22:00,48.3,4.2,37
4/19/16 23:00,209.8,3.5,38
4/20/16 0:00,176.1,2.2,38
4/20/16 1:00,18.1,6,35
4/20/16 2:00,4.9,8.4,37
4/20/16 3:00,24.1,6.3,39
4/20/16 4:00,16.4,6.9,37
4/20/16 5:00,11.3,7,36
4/20/16 6:00,0.4,9.5,34
4/20/16 7:00,2.3,10.2,32
4/20/16 8:00,1.9,11.5,34
4/20/16 9:00,358.8,11.7,34
4/20/16 10:00,357.3,11.4,38
4/20/16 11:00,356.4,10.2,42
4/20/16 12:00,352.1,9.2,46
4/20/16 13:00,10.2,9,48
4/20/16 14:00,4.4,6.8,49
4/20/16 15:00,30.5,3.4,51
4/20/16 16:00,75.2,4.2,52
4/20/16 17:00,294.4,3.5,50
4/20/16 18:00,15.9,3.7,47
4/20/16 19:00,68.3,7,45
4/20/16 20:00,65.5,8.3,42
4/20/16 21:00,35.5,7.8,34
4/20/16 22:00,25.3,10.2,36
4/20/16 23:00,17.5,11.7,35
4/21/16 0:00,17.6,11.5,30
4/21/16 1:00,13.6,12.3,28
4/21/16 2:00,22.4,12.3,26
4/21/16 3:00,25.9,11,26
4/21/16 4:00,25.2,9.8,22
4/21/16 5:00,23,14.1,19
4/21/16 6:00,18.1,13,22
4/21/16 7:00,3.2,11.3,26
4/21/16 8:00,4.8,12.4,30
4/21/16 9:00,0.6,11.2,35
4/21/16 10:00,7,3.9,42
4/21/16 11:00,199.2,2.7,48
4/21/16 12:00,4,4.7,57
4/21/16 13:00,21.5,6.7,61
4/21/16 14:00,346,7.2,63
4/21/16 15:00,323.1,6.1,68
4/21/16 16:00,253.1,3.6,68
4/21/16 17:00,275.4,2.6,67
4/21/16 18:00,209.7,2.8,57
4/21/16 19:00,98.2,7.1,49
4/21/16 20:00,40.6,8.9,49
4/21/16 21:00,14.9,10.3,42
4/21/16 22:00,21.7,11.5,42
4/21/16 23:00,16.7,11.5,41
4/22/16 0:00,13.5,13.6,40
4/22/16 1:00,19.8,12.3,37
4/22/16 2:00,15.9,13.5,36
4/22/16 3:00,18.3,13.9,35
4/22/16 4:00,18.6,13.5,32
4/22/16 5:00,19.3,14.9,30
4/22/16 6:00,9,13.4,32
4/22/16 7:00,10.5,11.6,36
4/22/16 8:00,13.5,13.5,42
4/22/16 9:00,18.5,14.6,46
4/22/16 10:00,13.1,10.9,50
4/22/16 11:00,229.6,8.8,57
4/22/16 12:00,,,
4/22/16 13:00,234.9,14.7,62
4/22/16 14:00,229.7,14.8,64
4/22/16 15:00,231.3,14,65
4/22/16 16:00,224.2,11.8,64
4/22/16 17:00,204.1,8.4,62
4/22/16 18:00,214.2,5.3,
4/22/16 19:00,216.9,4.3,54
4/22/16 20:00,213.3,3.4,52
4/22/16 21:00,203.5,4.3,54
4/22/16 22:00,204.8,7.1,56
4/22/16 23:00,197.4,7.2,55
4/23/16 0:00,184.9,13,60
4/23/16 1:00,177.2,16.9,59
4/23/16 2:00,182.4,19.6,59
4/23/16 3:00,185.9,18.6,57
4/23/16 4:00,180.9,17,58
4/23/16 5:00,183.4,10.4,56
4/23/16 6:00,178.1,15.6,55
4/23/16 7:00,179.4,16.3,54
4/23/16 8:00,185.4,14.1,53
4/23/16 9:00,206.4,14.7,51
4/23/16 10:00,200.2,16.8,51
4/23/16 11:00,210.3,19.1,51
4/23/16 12:00,231.1,22.6,52
4/23/16 13:00,287.4,15.7,54
4/23/16 14:00,192.1,16,56
4/23/16 15:00,246.4,14.7,69
4/23/16 16:00,267.5,17.9,78
4/23/16 17:00,270.3,12.1,64
4/23/16 18:00,256.7,11.1,58
4/23/16 19:00,233.9,8.8,53
4/23/16 20:00,231.2,7.7,51
4/23/16 21:00,189.5,7.5,50
4/23/16 22:00,220.2,4,48
4/23/16 23:00,212.5,2.9,46
4/24/16 0:00,199.4,4.1,46
4/24/16 1:00,203.3,3.7,45
4/24/16 2:00,183.2,3.4,45
4/24/16 3:00,188.8,2,45
4/24/16 4:00,193.2,3.2,44
4/24/16 5:00,187.6,4.8,42
4/24/16 6:00,189.6,4,41
4/24/16 7:00,200.8,4,43
4/24/16 8:00,189.1,4.9,48
4/24/16 9:00,196.6,6.8,51
4/24/16 10:00,199.5,6.7,52
