date,wd,ws,O3_Avg
4/1/16 0:00,271.1,3.4,
4/1/16 1:00,298.2,2.3,25
4/1/16 2:00,279.7,1.8,14
4/1/16 3:00,295.1,2.4,
4/1/16 4:00,95.8,1.7,
4/1/16 5:00,233,2.7,
4/1/16 6:00,80,1.9,
4/1/16 7:00,124.5,1.8,
4/1/16 8:00,112.4,4,34
4/1/16 9:00,206,3.1,37
4/1/16 10:00,151.9,3.7,40
4/1/16 11:00,308.7,5.2,42
4/1/16 12:00,311.8,5.2,45
4/1/16 13:00,331.4,4.8,47
4/1/16 14:00,344.3,5.9,46
4/1/16 15:00,329.7,5.6,45
4/1/16 16:00,331.3,5.9,44
4/1/16 17:00,285.4,6.8,43
4/1/16 18:00,301.3,6.9,40
4/1/16 19:00,297.2,4.2,33
4/1/16 20:00,262.3,3.5,26
4/1/16 21:00,278.5,2.6,23
4/1/16 22:00,307.1,2.1,16
4/1/16 23:00,295.2,1.9,
4/2/16 0:00,221.3,1.3,
4/2/16 1:00,96.3,2.9,
4/2/16 2:00,126.8,2,
4/2/16 3:00,121.3,2.9,19
4/2/16 4:00,110.2,3.2,21
4/2/16 5:00,135.8,3.1,23
4/2/16 6:00,133.5,4,23
4/2/16 7:00,129.9,5.7,27
4/2/16 8:00,122.8,7.1,33
4/2/16 9:00,115.6,6.5,38
4/2/16 10:00,118.9,4.3,41
4/2/16 11:00,160.8,3.9,44
4/2/16 12:00,86.8,3.8,46
4/2/16 13:00,296.5,5.4,47
4/2/16 14:00,325.9,6.5,49
4/2/16 15:00,342.9,7,47
4/2/16 16:00,342.4,7.7,45
4/2/16 17:00,336.7,9.1,45
4/2/16 18:00,340.3,7,43
4/2/16 19:00,277.6,3.7,34
4/2/16 20:00,239,2.6,27
4/2/16 21:00,103.4,1.6,
4/2/16 22:00,89,3,
4/2/16 23:00,103.6,2.6,
4/3/16 0:00,101.2,2.9,
4/3/16 1:00,102.5,2.3,14
4/3/16 2:00,126.3,2.3,14
4/3/16 3:00,144.5,2.4,18
4/3/16 4:00,136,3.8,23
4/3/16 5:00,161.8,3.2,23
4/3/16 6:00,154.2,4.5,24
4/3/16 7:00,130.8,6.2,28
4/3/16 8:00,126,5.9,33
4/3/16 9:00,118.4,5.9,38
4/3/16 10:00,123.9,3.4,41
4/3/16 11:00,136.8,3.4,45
4/3/16 12:00,329.6,5.8,45
4/3/16 13:00,322.3,6.9,45
4/3/16 14:00,318,6.4,48
4/3/16 15:00,274.2,6.4,49
4/3/16 16:00,320.5,5.7,47
4/3/16 17:00,314.1,4.7,46
4/3/16 18:00,341.8,3.1,41
4/3/16 19:00,247.7,2.5,28
4/3/16 20:00,264,3.2,28
4/3/16 21:00,142.4,1.7,21
4/3/16 22:00,79.8,3.9,
4/3/16 23:00,99.3,3.6,
4/4/16 0:00,98.2,4.1,
4/4/16 1:00,108.3,4.4,28
4/4/16 2:00,132.2,3.1,23
4/4/16 3:00,135.9,4.1,28
4/4/16 4:00,115.5,3.9,24
4/4/16 5:00,153,2.8,21
4/4/16 6:00,112.9,6.1,21
4/4/16 7:00,111.8,8.9,29
4/4/16 8:00,102.6,10.5,33
4/4/16 9:00,92.6,9,34
4/4/16 10:00,80.5,8.6,35
4/4/16 11:00,59.4,4.6,38
4/4/16 12:00,69.7,3.9,44
4/4/16 13:00,340.8,4.9,45
4/4/16 14:00,358.8,5.2,44
4/4/16 15:00,351.9,5.6,42
4/4/16 16:00,11.8,4.4,39
4/4/16 17:00,30.1,4.3,40
4/4/16 18:00,72.9,2.9,27
4/4/16 19:00,217.4,2.4,22
4/4/16 20:00,92.7,2.1,
4/4/16 21:00,73.2,2.8,
4/4/16 22:00,81.4,3.4,14
4/4/16 23:00,100.7,3.2,
4/5/16 0:00,79.3,2.9,
4/5/16 1:00,256.4,2.5,12
4/5/16 2:00,74,1.9,
4/5/16 3:00,261.4,2.1,
4/5/16 4:00,292.4,2.7,
4/5/16 5:00,46.2,2.4,
4/5/16 6:00,111.3,2.7,
4/5/16 7:00,102.3,3.5,
4/5/16 8:00,75.9,2.8,15
4/5/16 9:00,298,4.1,20
4/5/16 10:00,328.7,8.3,35
4/5/16 11:00,257.1,17.7,47
4/5/16 12:00,284.9,15.7,43
4/5/16 13:00,319.1,12.3,44
4/5/16 14:00,320,14.7,52
4/5/16 15:00,311.9,14.4,54
4/5/16 16:00,321.7,12.3,51
4/5/16 17:00,311.3,7.8,49
4/5/16 18:00,315.6,6,44
4/5/16 19:00,277.5,3,28
4/5/16 20:00,188.7,2,25
4/5/16 21:00,98.1,1.6,
4/5/16 22:00,77.5,1.5,
4/5/16 23:00,78.3,2.3,
4/6/16 0:00,81.6,2.2,
4/6/16 1:00,99.4,1.7,
4/6/16 2:00,110.5,2.9,16
4/6/16 3:00,132.4,4.4,25
4/6/16 4:00,125.7,4.1,23
4/6/16 5:00,144.2,3.1,21
4/6/16 6:00,156.4,3.8,16
4/6/16 7:00,124.2,5.3,26
4/6/16 8:00,115.9,5.5,33
4/6/16 9:00,89.1,7.1,38
4/6/16 10:00,118.7,4,41
4/6/16 11:00,112.1,3.4,46
4/6/16 12:00,308.1,4.5,49
4/6/16 13:00,329.1,5.5,52
4/6/16 14:00,338.1,6.8,52
4/6/16 15:00,334.5,6,49
4/6/16 16:00,339.9,6,48
4/6/16 17:00,330.3,4,48
4/6/16 18:00,342,4.2,44
4/6/16 19:00,269.6,3.8,32
4/6/16 20:00,256.6,3,27
4/6/16 21:00,70.1,2.3,22
