Date,pm10ltp,pmfine
01-Apr-2016 00:00,2.8,1.9
01-Apr-2016 01:00,3.6,2.1
01-Apr-2016 02:00,6.3,3.3
01-Apr-2016 03:00,5,3.1
01-Apr-2016 04:00,7,4.8
01-Apr-2016 05:00,6.2,4.6
01-Apr-2016 06:00,29,13.6
01-Apr-2016 07:00,24.2,9.6
01-Apr-2016 08:00,8.2,2.7
01-Apr-2016 09:00,4.8,2.1
01-Apr-2016 10:00,4.2,2.2
01-Apr-2016 11:00,3.6,1.9
01-Apr-2016 12:00,2.8,1.6
01-Apr-2016 13:00,2.6,1.5
01-Apr-2016 14:00,2.4,1.3
01-Apr-2016 15:00,2.7,1.4
01-Apr-2016 16:00,2.6,1.5
01-Apr-2016 17:00,2.8,1.9
01-Apr-2016 18:00,3.5,2.1
01-Apr-2016 19:00,6.2,3.5
01-Apr-2016 20:00,8.8,5
01-Apr-2016 21:00,8.1,4.3
01-Apr-2016 22:00,12.4,6
01-Apr-2016 23:00,9.8,5.3
02-Apr-2016 00:00,11.4,6.6
02-Apr-2016 01:00,15,10.3
02-Apr-2016 02:00,9.2,7.3
02-Apr-2016 03:00,3.7,2.6
02-Apr-2016 04:00,3.4,2.3
02-Apr-2016 05:00,3.3,2.2
02-Apr-2016 06:00,5.2,3
02-Apr-2016 07:00,4.4,2.7
02-Apr-2016 08:00,4,2.5
02-Apr-2016 09:00,4.1,2.7
02-Apr-2016 10:00,3.3,2
02-Apr-2016 11:00,4.2,2.2
02-Apr-2016 12:00,5.3,2.4
02-Apr-2016 13:00,4.6,2.8
02-Apr-2016 14:00,6.9,5.2
02-Apr-2016 15:00,4.5,3
02-Apr-2016 16:00,2.9,1.6
02-Apr-2016 17:00,3.5,1.7
02-Apr-2016 18:00,3.4,1.7
02-Apr-2016 19:00,7.2,3.3
02-Apr-2016 20:00,7.6,3.6
02-Apr-2016 21:00,17.2,10
02-Apr-2016 22:00,19.1,12.5
02-Apr-2016 23:00,12.7,8.4
03-Apr-2016 00:00,10.6,6.6
03-Apr-2016 01:00,6.6,4.4
03-Apr-2016 02:00,5.1,3
03-Apr-2016 03:00,5,2.9
03-Apr-2016 04:00,4.7,2.8
03-Apr-2016 05:00,4.1,2.4
03-Apr-2016 06:00,3,2
03-Apr-2016 07:00,2.7,1.8
03-Apr-2016 08:00,2.7,1.9
03-Apr-2016 09:00,2.3,1.5
03-Apr-2016 10:00,3,1.7
03-Apr-2016 11:00,3.2,1.8
03-Apr-2016 12:00,3.4,2
03-Apr-2016 13:00,3.8,2.6
03-Apr-2016 14:00,2.8,1.8
03-Apr-2016 15:00,2.8,1.7
03-Apr-2016 16:00,3.3,1.9
03-Apr-2016 17:00,3.6,2.1
03-Apr-2016 18:00,5,2.7
03-Apr-2016 19:00,10.6,4.9
03-Apr-2016 20:00,5.8,3.4
03-Apr-2016 21:00,16.7,6.8
03-Apr-2016 22:00,12.3,6.6
03-Apr-2016 23:00,6.1,3.4
04-Apr-2016 00:00,4.5,2.4
04-Apr-2016 01:00,4.7,2.5
04-Apr-2016 02:00,6.7,3
04-Apr-2016 03:00,6.5,2.8
04-Apr-2016 04:00,11.3,3.6
04-Apr-2016 05:00,7.7,3.1
04-Apr-2016 06:00,10.1,3.7
04-Apr-2016 07:00,8.9,3.2
04-Apr-2016 08:00,10.4,3.1
04-Apr-2016 09:00,7.2,2.7
04-Apr-2016 10:00,9.5,3
04-Apr-2016 11:00,10.1,2.8
04-Apr-2016 12:00,7.1,2.2
04-Apr-2016 13:00,7.3,2.4
04-Apr-2016 14:00,8.9,3.1
04-Apr-2016 15:00,6.5,2.4
04-Apr-2016 16:00,8.2,2.4
04-Apr-2016 17:00,7.1,2.5
04-Apr-2016 18:00,13.6,3.6
04-Apr-2016 19:00,19.6,6.4
04-Apr-2016 20:00,19.5,6.8
04-Apr-2016 21:00,18.4,7.6
04-Apr-2016 22:00,14.2,5.8
04-Apr-2016 23:00,11.2,5.2
05-Apr-2016 00:00,11.1,4.9
05-Apr-2016 01:00,10.8,4.9
05-Apr-2016 02:00,16.1,6.1
05-Apr-2016 03:00,15,6.3
05-Apr-2016 04:00,17.4,7.4
05-Apr-2016 05:00,22.1,8.2
05-Apr-2016 06:00,40.3,12.4
05-Apr-2016 07:00,41.7,13.6
05-Apr-2016 08:00,39.4,8.5
05-Apr-2016 09:00,24.8,7
05-Apr-2016 10:00,19.7,5.1
05-Apr-2016 11:00,28.1,5.3
05-Apr-2016 12:00,41.1,7
05-Apr-2016 13:00,19.3,4.2
05-Apr-2016 14:00,35.4,5.9
05-Apr-2016 15:00,18.7,3.7
05-Apr-2016 16:00,4.4,1.9
05-Apr-2016 17:00,3.6,1.8
05-Apr-2016 18:00,5.1,2.5
05-Apr-2016 19:00,10.6,4.1
05-Apr-2016 20:00,10.6,4
05-Apr-2016 21:00,9.2,3.9
05-Apr-2016 22:00,12.2,5.9
05-Apr-2016 23:00,11.9,6.8
06-Apr-2016 00:00,9.6,5.4
06-Apr-2016 01:00,9.8,5.9
06-Apr-2016 02:00,5.5,2.9
06-Apr-2016 03:00,4.6,2.2
06-Apr-2016 04:00,7.2,2.9
06-Apr-2016 05:00,7.4,3
06-Apr-2016 06:00,15.2,4.3
06-Apr-2016 07:00,10.3,3.3
06-Apr-2016 08:00,6.1,2.2
06-Apr-2016 09:00,5.4,2.1
06-Apr-2016 10:00,5.9,2.3
06-Apr-2016 11:00,6.7,2.5
06-Apr-2016 12:00,6.7,2.5
06-Apr-2016 13:00,7.2,3.3
06-Apr-2016 14:00,8.7,5.9
06-Apr-2016 15:00,10.1,3.3
06-Apr-2016 16:00,11.4,3.8
06-Apr-2016 17:00,9.4,3.4
06-Apr-2016 18:00,10.3,3.2
06-Apr-2016 19:00,16.7,5.9
06-Apr-2016 20:00,13.9,6
06-Apr-2016 21:00,18.4,7.6
06-Apr-2016 22:00,17.3,7.2
06-Apr-2016 23:00,17.7,7.6
07-Apr-2016 00:00,15.5,6.8
07-Apr-2016 01:00,9.7,4.4
07-Apr-2016 02:00,8.6,3.9
07-Apr-2016 03:00,12.1,5
07-Apr-2016 04:00,9.1,3.9
07-Apr-2016 05:00,9.4,3.7
07-Apr-2016 06:00,12.1,4.6
07-Apr-2016 07:00,12.6,4.4
07-Apr-2016 08:00,10.9,3.9
07-Apr-2016 09:00,11.3,4.8
07-Apr-2016 10:00,11.8,4.8
07-Apr-2016 11:00,10.8,3.7
07-Apr-2016 12:00,6.5,2.7
07-Apr-2016 13:00,6.3,2.8
07-Apr-2016 14:00,6.6,2.9
07-Apr-2016 15:00,9.1,3.3
07-Apr-2016 16:00,8.8,3.6
07-Apr-2016 17:00,9.2,3.8
07-Apr-2016 18:00,10.8,4.2
07-Apr-2016 19:00,21,7.1
07-Apr-2016 20:00,18.7,6.7
07-Apr-2016 21:00,18.3,8
07-Apr-2016 22:00,17.9,7.6
07-Apr-2016 23:00,21.4,9.4
08-Apr-2016 00:00,17,8.1
08-Apr-2016 01:00,11.6,5.6
08-Apr-2016 02:00,8.6,4
08-Apr-2016 03:00,11.1,4.4
08-Apr-2016 04:00,17.8,9.7
08-Apr-2016 05:00,15.8,7.2
08-Apr-2016 06:00,23.7,6.7
08-Apr-2016 07:00,22.6,6.8
08-Apr-2016 08:00,20.7,6.6
08-Apr-2016 09:00,13.2,4.4
08-Apr-2016 10:00,11,3.7
08-Apr-2016 11:00,10.4,3.5
08-Apr-2016 12:00,10.2,3.3
08-Apr-2016 13:00,10.1,3
08-Apr-2016 14:00,12.2,3.3
08-Apr-2016 15:00,12.3,3.5
08-Apr-2016 16:00,11.5,3.7
08-Apr-2016 17:00,14.4,4.8
08-Apr-2016 18:00,16.6,4.9
08-Apr-2016 19:00,16.8,5
08-Apr-2016 20:00,17.2,5
08-Apr-2016 21:00,20.4,5.5
08-Apr-2016 22:00,14.1,4.7
08-Apr-2016 23:00,10.6,4
09-Apr-2016 00:00,8.5,3.1
09-Apr-2016 01:00,5.1,2.5
09-Apr-2016 02:00,4.2,2.9
09-Apr-2016 03:00,4.8,2.6
09-Apr-2016 04:00,4,2.9
09-Apr-2016 05:00,4,3.1
09-Apr-2016 06:00,4,2.9
09-Apr-2016 07:00,9.5,7.3
09-Apr-2016 08:00,5.3,2.6
09-Apr-2016 09:00,2.7,1.7
09-Apr-2016 10:00,2.3,1.7
09-Apr-2016 11:00,3.2,2.1
09-Apr-2016 12:00,3.1,1.9
09-Apr-2016 13:00,4.3,2.3
09-Apr-2016 14:00,4.9,2.6
09-Apr-2016 15:00,3.5,2
09-Apr-2016 16:00,4.7,2.5
09-Apr-2016 17:00,6.9,3.8
09-Apr-2016 18:00,11.2,4.2
09-Apr-2016 19:00,15,5.6
09-Apr-2016 20:00,10.2,6.3
09-Apr-2016 21:00,9.1,6.2
09-Apr-2016 22:00,7.9,4.9
09-Apr-2016 23:00,4.3,2.7
10-Apr-2016 00:00,3.1,2.3
10-Apr-2016 01:00,2.7,2
10-Apr-2016 02:00,4.5,3
10-Apr-2016 03:00,3.9,2.8
10-Apr-2016 04:00,3,2.3
10-Apr-2016 05:00,2.3,2.1
10-Apr-2016 06:00,2.7,2.2
10-Apr-2016 07:00,1.9,1.6
10-Apr-2016 08:00,2.9,2.4
