Timestamp,Temperature[degC],Humidity[percent],SO2[ppb],O3[ppb],SO2[V],O3[V]
10/11/2015 16:00:02,32.91,21.95,0.00,0.00,-1.995878,-0.816516
10/11/2015 16:00:07,32.98,21.87,0.00,0.00,-1.995907,-0.816544
10/11/2015 16:00:12,33.05,21.79,0.00,0.00,-1.995957,-0.816579
10/11/2015 16:00:17,33.12,21.72,0.00,0.00,-1.996000,-0.816574
10/11/2015 16:00:22,33.19,21.65,0.00,0.00,-1.996020,-0.816625
10/11/2015 16:00:26,33.25,21.58,0.00,0.00,-1.996067,-0.816676
10/11/2015 16:00:31,33.32,21.53,0.00,0.00,-1.996123,-0.816714
10/11/2015 16:00:37,33.39,21.48,0.00,0.00,-1.996118,-0.816716
10/11/2015 16:00:41,33.46,21.43,0.00,0.00,-1.996140,-0.816745
10/11/2015 16:00:46,33.53,21.39,0.00,0.00,-1.996176,-0.816811
10/11/2015 16:00:51,33.59,21.34,0.00,0.00,-1.996202,-0.816835
10/11/2015 16:00:56,33.66,21.29,0.00,0.00,-1.996237,-0.816868
10/11/2015 16:01:01,33.72,21.24,0.00,0.00,-1.996246,-0.816867
10/11/2015 16:01:07,33.79,21.19,0.00,0.00,-1.996279,-0.816909
10/11/2015 16:01:11,33.85,21.13,0.00,0.00,-1.996327,-0.816990
10/11/2015 16:01:16,33.92,21.08,0.00,0.00,-1.996356,-0.817021
10/11/2015 16:01:21,33.98,21.03,0.00,0.00,-1.996369,-0.817142
10/11/2015 16:01:26,34.04,20.97,0.00,0.00,-1.996387,-0.817080
10/11/2015 16:01:32,34.10,20.91,0.00,0.00,-1.996424,-0.817099
10/11/2015 16:01:36,34.16,20.85,0.00,0.00,-1.996459,-0.817137
10/11/2015 16:01:41,34.22,20.78,0.00,0.00,-1.996480,-0.817171
10/11/2015 16:01:46,34.28,20.72,0.00,0.00,-1.996513,-0.817175
10/11/2015 16:01:51,34.34,20.65,0.00,0.00,-1.996522,-0.817213
10/11/2015 16:01:57,34.40,20.59,0.00,0.00,-1.996532,-0.817204
10/11/2015 16:02:01,34.45,20.54,0.00,0.00,-1.996526,-0.817204
10/11/2015 16:02:06,34.51,20.49,0.00,0.00,-1.996541,-0.817242
10/11/2015 16:02:11,34.57,20.43,0.00,0.00,-1.996570,-0.817337
10/11/2015 16:02:16,34.62,20.38,0.00,0.00,-1.996612,-0.817406
10/11/2015 16:02:21,34.68,20.33,0.00,0.00,-1.996655,-0.817427
10/11/2015 16:02:27,34.73,20.29,0.00,0.00,-1.996687,-0.817477
10/11/2015 16:02:31,34.79,20.24,0.00,0.00,-1.996732,-0.817461
10/11/2015 16:02:36,34.84,20.20,0.00,0.00,-1.996760,-0.817451
10/11/2015 16:02:41,34.90,20.15,0.00,0.00,-1.996797,-0.817490
10/11/2015 16:02:46,34.95,20.11,0.00,0.00,-1.996833,-0.817561
10/11/2015 16:02:52,35.01,20.06,0.00,0.00,-1.996836,-0.817573
10/11/2015 16:02:56,35.06,20.02,0.00,0.00,-1.996837,-0.817646
10/11/2015 16:03:01,35.11,19.97,0.00,0.00,-1.996876,-0.817655
10/11/2015 16:03:06,35.16,19.93,0.00,0.00,-1.996912,-0.817675
10/11/2015 16:03:11,35.21,19.89,0.00,0.00,-1.996908,-0.817677
10/11/2015 16:03:17,35.26,19.85,0.00,0.00,-1.996955,-0.817719
10/11/2015 16:03:21,35.31,19.81,0.00,0.00,-1.996970,-0.817760
10/11/2015 16:03:26,35.35,19.77,0.00,0.00,-1.996979,-0.817738
10/11/2015 16:03:31,35.40,19.73,0.00,0.00,-1.996988,-0.817753
10/11/2015 16:03:36,35.44,19.68,0.00,0.00,-1.996990,-0.817782
10/11/2015 16:03:41,35.49,19.64,0.00,0.00,-1.997020,-0.817787
10/11/2015 16:03:47,35.53,19.60,0.00,0.00,-1.997030,-0.817825
10/11/2015 16:03:51,35.58,19.56,0.00,0.00,-1.997076,-0.817999
10/11/2015 16:03:56,35.62,19.52,0.00,0.00,-1.997127,-0.817964
10/11/2015 16:04:01,35.67,19.49,0.00,0.00,-1.997189,-0.817948
10/11/2015 16:04:06,35.72,19.45,0.00,0.00,-1.997254,-0.818005
10/11/2015 16:04:12,35.77,19.42,0.00,0.00,-1.997294,-0.818041
10/11/2015 16:04:16,35.82,19.40,0.00,0.00,-1.997294,-0.818073
10/11/2015 16:04:21,35.87,19.38,0.00,0.00,-1.997326,-0.818060
10/11/2015 16:04:26,35.91,19.36,0.00,0.00,-1.997315,-0.818113
10/11/2015 16:04:31,35.96,19.34,0.00,0.00,-1.997367,-0.818195
10/11/2015 16:04:37,36.01,19.33,0.00,0.00,-1.997378,-0.818282
10/11/2015 16:04:41,36.05,19.31,0.00,0.00,-1.997411,-0.818288
10/11/2015 16:04:46,36.10,19.30,0.00,0.00,-1.997467,-0.818359
10/11/2015 16:04:51,36.14,19.28,0.00,0.00,-1.997484,-0.818333
10/11/2015 16:04:56,36.19,19.27,0.00,0.00,-1.997458,-0.818347
10/11/2015 16:05:01,36.23,19.25,0.00,0.00,-1.997470,-0.818384
10/11/2015 16:05:07,36.28,19.23,0.00,0.00,-1.997495,-0.818438
10/11/2015 16:05:11,36.33,19.21,0.00,0.00,-1.997502,-0.818479
10/11/2015 16:05:16,36.37,19.19,0.00,0.00,-1.997518,-0.818586
10/11/2015 16:05:21,36.41,19.17,0.00,0.00,-1.997533,-0.818634
10/11/2015 16:05:26,36.45,19.15,0.00,0.00,-1.997537,-0.818605
10/11/2015 16:05:31,36.50,19.13,0.00,0.00,-1.997553,-0.818664
10/11/2015 16:05:36,36.54,19.11,0.00,0.00,-1.997578,-0.818662
10/11/2015 16:05:41,36.58,19.08,0.00,0.00,-1.997569,-0.818710
10/11/2015 16:05:46,36.62,19.06,0.00,0.00,-1.997555,-0.818721
10/11/2015 16:05:51,36.66,19.03,0.00,0.00,-1.997584,-0.818765
10/11/2015 16:05:56,36.69,19.01,0.00,0.00,-1.997591,-0.818825
10/11/2015 16:06:01,36.73,18.99,0.00,0.00,-1.997617,-0.818842
10/11/2015 16:06:06,36.76,18.97,0.00,0.00,-1.997644,-0.818974
10/11/2015 16:06:11,36.79,18.96,0.00,0.00,-1.997682,-0.819001
10/11/2015 16:06:16,36.83,18.94,0.00,0.00,-1.997716,-0.819053
10/11/2015 16:06:21,36.86,18.93,0.00,0.00,-1.997755,-0.819074
10/11/2015 16:06:26,36.89,18.92,0.00,0.00,-1.997772,-0.819088
10/11/2015 16:06:31,36.92,18.91,0.00,0.00,-1.997750,-0.818985
10/11/2015 16:06:36,36.95,18.91,0.00,0.00,-1.997731,-0.819040
10/11/2015 16:06:41,36.98,18.90,0.00,0.00,-1.997711,-0.819042
10/11/2015 16:06:46,37.00,18.90,0.00,0.00,-1.997686,-0.819064
10/11/2015 16:06:51,37.03,18.90,0.00,0.00,-1.997648,-0.819054
10/11/2015 16:06:56,37.05,18.90,0.00,0.00,-1.997656,-0.819068
10/11/2015 16:07:01,37.08,18.89,0.00,0.00,-1.997652,-0.819129
10/11/2015 16:07:06,37.10,18.89,0.00,0.00,-1.997663,-0.819175
10/11/2015 16:07:11,37.12,18.88,0.00,0.00,-1.997650,-0.819108
10/11/2015 16:07:16,37.15,18.87,0.00,0.00,-1.997681,-0.819087
10/11/2015 16:07:21,37.17,18.86,0.00,0.00,-1.997695,-0.819112
10/11/2015 16:07:26,37.19,18.85,0.00,0.00,-1.997643,-0.819046
10/11/2015 16:07:31,37.21,18.84,0.00,0.00,-1.997638,-0.819113
10/11/2015 16:07:36,37.23,18.83,0.00,0.00,-1.997675,-0.819098
10/11/2015 16:07:41,37.25,18.83,0.00,0.00,-1.997654,-0.819160
10/11/2015 16:07:46,37.26,18.82,0.00,0.00,-1.997639,-0.819183
10/11/2015 16:07:51,37.28,18.82,0.00,0.00,-1.997633,-0.819281
10/11/2015 16:07:56,37.30,18.82,0.00,0.00,-1.997631,-0.819272
10/11/2015 16:08:01,37.32,18.82,0.00,0.00,-1.997672,-0.819241
10/11/2015 16:08:06,37.34,18.82,0.00,0.00,-1.997687,-0.819315
10/11/2015 16:08:11,37.36,18.82,0.00,0.00,-1.997698,-0.819359
10/11/2015 16:08:16,37.38,18.82,0.00,0.00,-1.997713,-0.819430
10/11/2015 16:08:21,37.40,18.82,0.00,0.00,-1.997686,-0.819423
10/11/2015 16:08:26,37.43,18.82,0.00,0.00,-1.997716,-0.819474
10/11/2015 16:08:31,37.45,18.82,0.00,0.00,-1.997759,-0.819499
10/11/2015 16:08:36,37.48,18.82,0.00,0.00,-1.997773,-0.819507
10/11/2015 16:08:41,37.50,18.81,0.00,0.00,-1.997784,-0.819506
10/11/2015 16:08:46,37.53,18.81,0.00,0.00,-1.997805,-0.819447
10/11/2015 16:08:51,37.55,18.80,0.00,0.00,-1.997817,-0.819446
10/11/2015 16:08:56,37.58,18.80,0.00,0.00,-1.997820,-0.819453
10/11/2015 16:09:01,37.60,18.80,0.00,0.00,-1.997760,-0.819452
10/11/2015 16:09:06,37.63,18.79,0.00,0.00,-1.997794,-0.819487
10/11/2015 16:09:11,37.66,18.77,0.00,0.00,-1.997772,-0.819529
10/11/2015 16:09:16,37.68,18.76,0.00,0.00,-1.997795,-0.819570
10/11/2015 16:09:21,37.71,18.75,0.00,0.00,-1.997792,-0.819667
10/11/2015 16:09:26,37.73,18.74,0.00,0.00,-1.997781,-0.819722
